0.265,0.332,0.546,0.299,NaN,0.023,0.385,0.305,0.568,0.095,0.863,0.269,0.902,0.948,1.001,1.177,1.064,0.597,0.508,0.729,0.726,0.814,0.337,0.011,NaN,NaN,0.005,NaN,0.005,NaN,NaN,0.384,0.004,NaN,0.012,0.006,0.784,0.812,0.635,0.622,0.581,0.652,0.589,0.634,1.099,0.831,0.874,0.929,1.14,1.121,0.676
NaN,0.318,0.927,NaN,NaN,NaN,1.059,0.772,0.618,0.507,0.79,0.966,0.901,1.025,1.01,1.091,0.904,0.838,0.471,0.978,0.833,0.757,0.175,0.644,0.075,0.149,0.258,0.174,NaN,0.754,0.332,0.241,0.011,NaN,NaN,NaN,0.929,0.589,1.01,0.652,0.72,0.549,0.936,1.103,0.602,0.608,1.1,0.777,1,1.006,0.57
0.873,0.19,0.873,0.777,0.393,0.505,1.27,0.525,NaN,NaN,0.429,0.836,0.721,0.94,0.835,1.192,0.913,0.836,0.572,0.908,1.071,0.88,0.224,0.909,0.454,0.285,0.17,0.309,0.417,NaN,NaN,0.203,0.005,0.034,0.939,NaN,0.603,0.822,1.033,0.594,0.752,0.829,0.673,0.985,0.768,0.967,0.776,0.828,0.68,0.951,0.87
NaN,NaN,1.235,0.925,0.05,NaN,NaN,0.949,0.875,0.224,0.901,NaN,0.009,0.362,1.035,0.734,NaN,0.428,NaN,0.217,0.956,1.042,NaN,0.709,NaN,0.948,NaN,NaN,NaN,0.665,NaN,NaN,NaN,NaN,NaN,0.748,0.786,0.808,0.651,0.767,0.994,1.073,0.586,0.722,0.84,0.885,0.766,0.649,0.951,0.845,0.615
0.373,0.189,0.146,0.257,0.003,0.031,0.006,NaN,NaN,1.072,0.956,0.654,0.464,0.058,0.548,0.378,0.946,0.715,1.105,0.193,0.958,0.895,NaN,0.001,0.194,1.036,0.001,0.305,0.002,NaN,NaN,NaN,NaN,NaN,1.068,NaN,0.508,0.867,0.828,0.932,0.911,0.927,0.896,0.623,1.048,0.815,0.995,0.685,0.885,0.591,0.993
0.257,0.359,0.04,0.706,0.433,0.117,1.122,0.786,1.224,1.229,1.018,0.835,0.934,0.905,1.084,0.664,1.374,1.052,0.869,0.887,1.121,0.866,0.664,1.135,NaN,NaN,0.214,0.422,0.001,0.958,0.09,1.016,NaN,0.18,NaN,0.006,0.783,1.043,1.085,0.878,0.641,0.799,0.743,1.051,0.951,0.781,1.121,0.957,0.508,0.591,0.631
0.722,0.038,NaN,0.806,0.507,0.721,NaN,1.064,0.609,1.005,0.228,1.216,0.403,NaN,0.076,NaN,1.179,1.285,1.283,1.244,1.212,1.324,NaN,0.204,0.145,0.293,0.064,0.698,0.266,0.507,0.721,NaN,NaN,NaN,NaN,NaN,0.982,1.126,0.773,0.907,0.66,0.979,0.866,1.117,0.847,1.127,1.044,0.705,0.81,0.673,0.736
0.332,0.27,NaN,0.829,NaN,0.176,1.215,0.675,0.649,0.705,0.994,0.547,0.912,0.492,0.735,0.644,1.067,0.739,0.781,0.09,1.106,0.061,0.031,0.263,0.41,0.679,0.308,0.882,0.605,0.948,1.13,0.735,NaN,NaN,0.818,1.137,1.099,0.6,0.619,0.432,0.64,0.64,0.778,0.585,0.839,1.014,0.456,1.047,0.934,1.059,0.735
0.962,0.362,NaN,1.083,0.715,0.754,0.981,0.748,0.773,1.007,0.916,0.011,0.455,0.357,0.716,NaN,0.08,0.444,0.507,0.617,0.38,1.022,1.143,NaN,0.249,0.222,0.486,1.07,NaN,0.639,1.095,0.747,0.008,NaN,NaN,0.446,0.818,0.697,1.084,0.717,0.806,1.102,0.704,0.614,1.03,0.653,1.018,1.08,0.623,0.614,0.694
NaN,0.301,0.51,0.713,0.011,0.965,0.601,0.731,0.654,1.032,0.712,0.727,0.963,0.975,0.752,0.93,0.336,0.477,NaN,1.058,0.532,0.003,0.849,NaN,0.743,1.028,0.849,0.881,0.266,1.022,0.48,0.823,0.001,NaN,NaN,0.076,0.559,0.619,0.903,1.004,1.079,0.92,1.069,0.541,0.936,0.883,0.778,1.045,0.631,1.11,0.521
0.009,0.002,0.174,0.002,NaN,NaN,0.009,0.038,0.032,0.003,0.009,0.025,0.169,0.004,0.047,0.005,NaN,NaN,0.028,NaN,1.244,0.004,0.047,NaN,NaN,0.319,NaN,0.008,0.004,0.016,0.003,0.023,0.04,0.005,0.016,NaN,0.785,0.932,0.895,0.676,0.655,0.982,0.953,0.836,1.117,0.764,0.693,0.606,0.846,0.744,0.979
0.204,0.097,0.23,0.83,0.001,NaN,0.722,0.749,0.011,0.749,0.667,0.601,0.824,NaN,0.835,0.712,0.536,NaN,0.022,0.109,0.829,NaN,0.651,0.001,0.082,0.151,0.067,0.559,0,NaN,0.002,0.486,0.453,NaN,0.137,0.974,0.857,0.957,0.631,0.783,0.765,1.1,0.581,0.746,1.052,1.099,0.828,0.743,0.985,0.737,0.64
1.026,0.621,0.565,0.983,NaN,0.373,0.83,0.592,0.866,0.862,1.172,0.351,0.849,0.235,0.785,0.52,1.139,0.812,0.519,0.497,0.484,NaN,0.42,0.169,0.008,0.817,0.464,0.536,0,0.724,0.001,NaN,0,NaN,0.381,0.041,0.597,0.486,0.597,0.866,0.591,0.982,0.622,0.9,0.589,0.762,0.505,0.939,0.668,0.573,0.909
0.987,0.402,0.874,0.589,NaN,0.58,1.281,1.048,0.634,1.128,1.077,0.589,0.738,1.08,0.698,1.23,NaN,0.887,0.204,NaN,0.9,0.002,1.169,1.144,0.6,0.765,0.632,0.683,0.515,0.96,1.351,0.704,NaN,NaN,NaN,0.046,1.075,0.736,0.913,1.069,0.556,0.622,0.839,0.762,1.004,0.507,0.781,0.798,0.831,0.967,0.887
NaN,0.249,1.102,NaN,0.003,0.021,1.159,0.227,1.264,0.625,1.075,0.738,0.853,0.374,0.083,1.211,0.016,1.045,NaN,0.483,NaN,NaN,0.307,0.463,NaN,0.619,0.041,0.591,NaN,0.358,0.983,NaN,0.285,0.602,NaN,0.016,,,,,,,,,,,,,,,
0.962,0.396,0.867,0.8,NaN,0.327,0.901,0.532,0.931,0.972,0.577,0.325,0.693,0.57,0.801,0.888,0.58,NaN,1.179,0.566,0.591,0.424,0.078,NaN,0.023,0.578,0.232,1.261,0.544,0.379,0.709,0.78,NaN,0.916,NaN,0.994,,,,,,,,,,,,,,,
0.888,0.793,0.578,1.094,NaN,0.192,0.728,0.519,0.019,0.294,0.65,0.782,0.409,0.096,0.704,1.077,0.903,1.026,0.597,0.081,0.755,NaN,0.013,0.017,0.428,0.206,0.014,0.003,0,NaN,NaN,0.99,NaN,0.004,0.023,0.72,,,,,,,,,,,,,,,
0.933,0.677,0.459,0.627,0.394,0.471,0.172,0.416,0.528,0.78,0.999,0.671,1.017,0.602,0.813,0.117,NaN,0.922,0.341,NaN,0.506,NaN,0.123,NaN,0.307,0.799,0.309,0.199,0.004,0.541,0.008,1.222,NaN,NaN,0.574,NaN,,,,,,,,,,,,,,,
0.93,0.556,1.081,0.903,NaN,0.379,0.684,1.326,0.985,NaN,0.137,0.952,NaN,0.021,0.053,1.102,1.067,NaN,NaN,1.077,NaN,NaN,0.255,0.045,0.063,0.736,0.006,0.791,0.696,0.88,0.024,0.76,NaN,0.507,1.339,NaN,,,,,,,,,,,,,,,
1.003,0.822,NaN,0.736,NaN,0.705,NaN,0.717,0.806,1.01,0.986,0.01,NaN,0.042,0.783,0.685,0.86,NaN,NaN,0.806,0.594,0.875,0.695,NaN,NaN,0.127,0.229,0.131,0.018,0.871,1.179,NaN,NaN,NaN,NaN,0.368,,,,,,,,,,,,,,,
0.992,0.173,0.418,0.853,NaN,0.27,NaN,0.793,NaN,0.886,1.073,0.497,0.709,NaN,0.972,0.832,0.022,NaN,0.479,0.027,0.57,0.617,0.243,0,0.04,0.874,0,0.157,0,0.069,NaN,0.011,0.009,NaN,NaN,NaN,,,,,,,,,,,,,,,
