"","15C_R1_lower","15C_R1_upper","15C_R2_lower","15C_R2_upper","15C_R3_lower","15C_R3_upper","No Treatment_R1_lower","No Treatment_R1_upper","No Treatment_R2_lower","No Treatment_R2_upper","No Treatment_R3_lower","No Treatment_R3_upper"
"SSN3PDE2",NA,0.959931652221572,NA,0.444145136488063,NA,0.759598852370774,NA,0.977182439216344,NA,0.905779301097021,NA,0.911416138141753
"SSN3TPS2",0.337305958400275,0.0302245482437523,0.457641259420021,0.0711613754594135,0.379799426185387,0.095243818950515,0.996713067581761,0.897106862918136,1.03972799889026,0.691201290069012,0.921181311050414,0.561822948011666
"SSN3MSN4",0.870466989420065,1.14127894168408,1.01834382122954,1.11036284122016,1.2511039921401,0.757247153137428,0.993457962854192,1.03186819863951,0.959098685655496,1.04623036286081,0.82222755890931,1.03836338595435
"SSN3PTC1",1.37703041798535,NA,0.726336797792634,NA,1.30284137527371,NA,0.990202858126622,NA,0.969502468008369,NA,0.980423360029628,NA
"SSN3TPK1",1.02642565835783,0.878929862928315,1.06251295082504,0.603644771138473,1.07825409848916,0.790170942404273,0.964162020306067,1.04944576416839,0.934389702567422,1.04297918087554,0.966101106430258,1.03510832831813
"SSN3C1_12120W_A",0.191019144900514,0.357858651206027,1.05760526975887,0.438010535155355,0.781939995087562,0.409195666602213,0.914684428447011,1.10217846075501,0.804992659553562,1.00266452425815,0.753871348548678,0.996698648210731
"SSN3SSK1",1.27426695395659,1.54024297850161,1.43795055238677,1.19624725987807,0.471515696285883,1.30166552565704,0.954396706123358,0.649067882677345,0.928537574993931,1.1593714959483,0.925087380213879,1.09174633118837
"SSN3FGR15",1.17271247185759,0.0120898192975009,0.430649013556106,0.00490768106616645,0.710213168470507,0.0047033984666921,0.973927334488775,0.951141601395789,0.948694903302623,0.906429537494076,0.952429864358132,0.65426658488033
"SSN3HOG1",1.10621846572133,NA,1.04165530629383,NA,1.05708880538905,NA,0.964813041251581,NA,0.944793484920295,NA,1.01492697097357,NA
"EFH1",0.812435856792061,0.812435856792061,0.856390346046045,0.856390346046045,0.960669136821861,0.960669136821861,0.822239454184039,0.822239454184039,0.979906250361242,0.979906250361242,1.0110209018101,1.0110209018101
"EFH1CAT1",1.52936214113386,1.26580408044834,1.21097030307657,0.933686322838166,1.46746032160794,1.27579683409023,0.823541496075067,1.01494165405615,1.00006357866993,1.03452610771383,1.02990023610018,1.03055124762742
"EFH1TYE7",0.13177903034276,1.20414600203109,0.493221947149728,1.22814718680815,0.560880267153033,0.990065377238687,0.774063904216012,1.08329885333511,0.954547030876114,0.849208734553273,0.966752117957502,0.907510068978288
"EFH1YAK1",0.637133476978297,1.20535498396084,1.07232831295737,1.23918946920703,1.01005482072213,1.28755533025696,0.735653668430692,1.03251921958502,0.934389702567422,1.03257539852266,0.942013679922226,1.01297393639183
"EFH1HSP30",0.337305958400275,1.02521667642808,0.722656036993009,1.02447842256225,0.647893138786837,1.10412279005597,0.804010867709651,0.987598774344567,0.927887338596877,0.927237102199822,1.04487350122679,1.02469214388223
"EFH1PDE2",NA,1.27184899009709,NA,1.26986247587057,NA,1.1158812862227,NA,0.987598774344567,NA,0.998763105875825,NA,0.987584486829313
"EFH1TPS2",0.701209519255052,0.303454464367273,0.711613754594135,0.672352306064803,0.506791184786074,0.453877952035788,0.869112962261039,1.08590293711716,0.99941334227288,1.10085022021339,1.03055124762742,1.05333665108097
"EFH1MSN4",0.361485596995277,1.47616693622486,1.5716848614398,1.32998156893111,0.850139272854597,1.30166552565704,0.809219035273762,0.996713067581761,0.974704359184806,1.00981712462575,0.977819313920652,0.999302694319707
"EFH1PTC1",0.411053856115031,0.100345500169257,1.28581243933561,0.0932459402571625,0.941855542955093,0.489153440535978,0.804010867709651,0.946584454777192,0.972753649993642,0.897976464332366,0.986282463774825,0.938107610758761
"EFH1TPK1",0.175302379813763,0.980484345027323,0.777867448987382,0.901786395908085,0.667882582270278,1.0288684145889,0.541649426667554,0.985645711508025,0.719161455142358,1.01306830661103,0.711555599277811,1.0051617980649
"EFH1C1_12120W_A",0.906736447312568,0.585147253999044,1.38396606065894,0.878474910843794,0.277500509534834,0.96419668567188,0.828749663639178,1.03968044998568,1.00786641543459,1.08004265550765,1.02664517846396,1.0110209018101
"EFH1SSK1",1.04335140537433,1.26217713465909,1.32139312706532,0.922644040439292,1.08648504580588,1.29813797680702,0.687478118462665,1.09762131413641,0.919434265435167,0.74777185661276,0.900999953705847,0.606091731864266
"EFH1FGR15",1.39153820114235,0.0108808373677508,0.722656036993009,0.0576652525274557,0.886590610971461,0.0305720900334986,0.838514977821887,0.971974271652233,0.988359323522952,0.896675991538257,1.00841685570112,0.970658187120967
"EFH1HOG1",1.25129629729134,1.10863642958083,0.905467156707709,1.02447842256225,1.12528808315608,1.11235373737268,0.859347648078331,1.05270086889596,0.881070318008947,0.89147410036182,0.870402411925374,0.950476829776399
"EFH1SSN3",1.18117534536584,0.900691537663817,1.32507388786494,0.963132409235165,1.12999148162278,1.17937716552304,0.852837438623192,0.996062046636247,1.01501901580219,0.997462633081716,1.03575933984538,0.958939979630573
"RCK2",0.554922705755291,0.554922705755291,1.48580044278189,1.48580044278189,1.00887897110546,1.00887897110546,0.803359846764137,0.803359846764137,0.964300576831933,0.964300576831933,0.992792579047266,0.992792579047266
"RCK2CAT1",NA,0.26839398840452,NA,1.43917747265331,NA,0.77723659662087,NA,0.975229376379803,NA,0.955847503670223,NA,0.987584486829313
"RCK2TYE7",0.182556271392264,1.33108910465485,0.305503146368861,1.44408515371948,0.686696176137046,1.15468432357291,0.78382921839872,0.993457962854192,0.992260741905279,0.970152704405424,0.989537521411046,0.992141567520022
"RCK2YAK1",0.709672392763303,1.05060529695283,1.35206613372886,1.3385700107969,1.06296805347241,1.06531975270576,0.755184296796109,0.973927334488775,0.954547030876114,0.98380766874357,0.95373188741262,0.984329429193093
"RCK2HSP30",NA,1.24041545992359,NA,1.4624889577176,NA,1.23229039827333,NA,1.00843144460101,NA,0.995511923890552,NA,1.01948405166427
"RCK2PDE2",0.00725389157850054,0.732643049428555,0.00368076079962484,0.900559475641543,0.0094067969333842,0.780764145470889,0.386055420689735,0.917939533174581,0.919434265435167,0.923985920214549,0.458312115179853,0.949825818249155
"RCK2TPS2",0.0314335301735023,1.32141724921685,0.0257653255973738,0.463775860752729,0.0540890823669591,1.00535142225544,0.619120919183707,1.0689763925338,0.829051406244581,1.06183603639012,0.977819313920652,0.829388685708995
"RCK2MSN4",0.891019682225816,0.987738236605823,1.42200058892173,0.81467505698363,0.881887212504769,1.11823298545605,0.809219035273762,0.990853879072136,0.95259632168495,0.981206723155352,1.00841685570112,1.00320876348317
"RCK2PTC1",0.162003578586512,NA,0.278510900504946,NA,0.228114825634567,NA,0.712216914392192,NA,0.875868426832511,NA,0.937456599231517,NA
"RCK2TPK1",1.51485435797686,0.662522097503049,1.5508272169086,0.790136651652798,1.08413334657253,0.823094731671117,0.823541496075067,0.992806941908678,0.806943368744726,0.946093957714405,0.97912133697514,0.970658187120967
"RCK2C1_12120W_A",0.305872428226773,NA,0.766825166588507,NA,0.460933049735826,NA,0.78708432312629,NA,0.878469372420729,NA,0.881469607888524,NA
"RCK2SSK1",1.23437055027484,1.26701306237809,1.31893928653223,1.1410358478837,0.676113529586989,1.33341346530721,0.790990448799373,0.710263851555651,0.993561214699389,1.09889951102223,0.971960210175455,0.903603999814823
