Gene_X,Gene_Y,P-value (exp_vs_XY),P-value adj (exp_vs_XY),P-value (exp_vs_YX),P-value adj (exp_vs_YX),P-value (actual_XY_vs_YX),P-value adj (actual_XY_vs_YX),P-value (exp_vs_average_XY_YX),P-value adj (exp_vs_average_XY_YX),Significant
MIG1,C3_00570C_A,0.705660986347143,0.8448284662531921,0.3363829677601868,0.5045744516402803,0.1306044570556359,0.25533171354376816,0.789413405689101,0.8713041486745832,0.0
MIG1,C2_10540W_A,0.293386390451165,0.4931184933967464,0.3288203795744814,0.49639230378070753,0.627304411840947,0.7370079021656674,0.24481895266625806,0.4421578660275448,0.0
MIG1,TPK2,0.210268358374011,0.39329693411639455,0.39791648416857134,0.557793642986301,0.015391115881428562,0.07100147850592312,0.7413833333740301,0.8369449577737802,0.0
MIG1,RCK2,0.026958386762177624,0.11496303776267483,,,,,0.026958386762177624,0.15126796140703078,0.0
MIG1,EFH1,0.07022216003217503,0.20019135125194648,0.8719336341718783,0.9249566254390871,0.22141949172596687,0.36997872335407284,0.34047456087870764,0.5282480714466438,0.0
MIG1,SSN3,0.020975785207738414,0.09578323156807983,0.7773995541610159,0.8682534347642771,0.0784603972537422,0.18820868298290305,0.20812313940715652,0.42251244629717216,0.0
MIG1,HOG1,0.20205238280959056,0.3833052556240762,0.49055298392425184,0.6453923335986664,0.6147643945846852,0.7306166513149298,0.21409187715058053,0.42251244629717216,0.0
MIG1,FGR15,0.014527356199607417,0.083181904883772,,,,,0.014527356199607417,0.10307505113054788,0.0
MIG1,SSK1,0.6322542334249288,0.7937790375845822,0.019349768725246897,0.1047556444780608,0.0008409919628123646,0.01565846940283974,0.34411245499694093,0.5285851112839609,0.0
MIG1,C1_12120W_A,0.22088832786020102,0.4041786424676019,0.5973112711729531,0.7384084218437295,0.12571873753288967,0.25056647079771965,0.6448545406089098,0.7686666124058205,0.0
MIG1,TPK1,0.0591857535154121,0.18070916457960143,0.06608153861035707,0.21918594848928294,0.837105675471754,0.8846170786742049,0.01939008045154991,0.12038008280337235,0.0
MIG1,PTC1,0.6115771207983075,0.7811232532968483,0.7869038030920705,0.8696639281533788,0.9097238206240006,0.9311571043559796,0.6397074842988668,0.7644578716497317,0.0
MIG1,MSN4,0.339387846663087,0.5281478964818849,,,,,0.339387846663087,0.5282480714466438,0.0
MIG1,HSP30,0.7867771695756922,0.8866467919026703,0.8876188377263473,0.9352762249868223,0.8839544684738796,0.9192186095034227,0.7754469299356952,0.8637250561571183,0.0
MIG1,YAK1,0.04966158078504152,0.1581813313893915,0.60888569131531,0.7468363557539349,0.016483215975511036,0.07161041607138684,0.37500853673844037,0.5602673649098753,0.0
MIG1,CAT1,0.6485527040627296,0.8102982936958074,0.1358681433611037,0.3050670775044574,0.14121057365102893,0.27004769583262034,0.2347342969215335,0.4346973767699205,0.0
CIP1,MIG1,0.032582401812951176,0.12736757072335458,0.23621938188441122,0.40929877393448433,0.08700178188838258,0.19893389893776367,0.061890240385717395,0.2231251627947008,0.0
CIP1,PDE1,0.48790403809478905,0.6607834216716828,0.7940877807203206,0.8737599555935426,0.426148422265526,0.5648272308671888,0.86623317985437,0.9202762481162291,0.0
CIP1,SKN7,0.8752666205838011,0.9312114973633843,,,,,0.8752666205838011,0.9248639163955967,0.0
CIP1,PBS2,0.016661905631290986,0.08948912685635939,0.12030588208575807,0.2854626863670085,0.0018913976687977294,0.019987472662159788,0.7894366447722734,0.8713041486745832,0.0
CIP1,RHB1,0.7446780558300468,0.8713239836922997,0.07159634587028028,0.22632133493222828,0.0979951065967217,0.21894906673896106,0.22508476200665342,0.42747640634214734,0.0
CIP1,C3_00570C_A,0.007186085556295023,0.05618212344012472,0.9573479112650001,0.9697007875393872,0.009236176453722678,0.05086401399162771,0.2106772308158757,0.42251244629717216,0.0
CIP1,C2_10540W_A,0.4686886116741016,0.6436215050104136,0.7839476568387201,0.8696639281533788,0.4134266508646002,0.5535952756440365,0.8970874856441102,0.9347275200068003,0.0
CIP1,GCN4,0.0352256495670883,0.13267470931837635,0.026185891061478093,0.11886521420343556,0.0026065288347204047,0.02316256305399269,0.8745921466121627,0.9248639163955967,0.0
CIP1,TPK2,0.07572134530251787,0.2059850193704666,0.29048221665739243,0.4611855523765704,0.015670260471070105,0.07100147850592312,0.8126202292904317,0.8821888099400679,0.0
CIP1,RCK2,0.3149131883330756,0.5093893579306176,0.2628970653882598,0.43909403474422115,0.8298466081662179,0.8817120211766065,0.18742354493955882,0.40619793739628024,0.0
CIP1,EFH1,0.7199932775115474,0.8521021357705469,0.8617645017545996,0.9183056115982272,0.6890672619572882,0.7788638527136368,0.9202361658690004,0.9518260733042311,0.0
CIP1,SSN3,0.024401692770831,0.10670570737075251,0.034369349516615175,0.14232850980331863,0.6841466576115196,0.7788638527136368,0.005428522437918401,0.06602855863264014,0.0
CIP1,HOG1,0.3773041819962541,0.5659562729943812,0.0656378958350352,0.21918594848928294,0.12889122555826182,0.25324858891095664,0.10005970345156384,0.2880946051069181,0.0
CIP1,FGR15,0.04713944332030356,0.15298083492626816,0.024311947369724293,0.11347415725180417,0.17317958747601755,0.31348712362556885,0.06223806189991081,0.2231251627947008,0.0
CIP1,SSK1,0.01304375948118182,0.07754249235280163,0.04620496009352196,0.17153133467370513,0.00014784556029895726,0.004817301173074357,0.8113631170099487,0.8821888099400679,0.0
CIP1,C1_12120W_A,0.9168953960983155,0.9538669846506669,0.00622231156821875,0.05954790193875638,0.1868255044756627,0.32180075881050274,0.44445295118447004,0.6061646656886593,0.0
CIP1,PTC1,0.0443716652468201,0.14786931851017357,0.18565106506515086,0.36282843006508736,0.056507572530426826,0.15781757756712064,0.8420288064918097,0.9042327363407542,0.0
CIP1,MSN4,0.372943561258197,0.5656719437523151,,,,,0.372943561258197,0.5598850441055049,0.0
CIP1,TPS2,0.043704298253667555,0.14786931851017357,3.554797150643676e-05,0.0033486189159063428,0.11618109960854764,0.2386519132491093,0.0043933360366488075,0.057655109705318584,0.0
CIP1,PDE2,0.5725003430445608,0.748761875751896,0.06280445388502466,0.21556940624240406,0.06154131973603952,0.16622820379794295,0.2734959324911693,0.4691139849709984,0.0
CIP1,HSP30,0.10174641291063131,0.24419139098551515,0.04949530659276849,0.1821272609780778,0.004984193557836172,0.03608925335396191,0.9605840702277926,0.9782826388600431,0.0
CIP1,YAK1,0.023036313062587237,0.1024718753473708,0.01502950874814079,0.09149302397953801,0.4519876235002754,0.5832579563980451,0.0015213921358318066,0.03279423759947843,0.0
CIP1,TYE7,0.456883477905561,0.6371672286466742,,,,,0.456883477905561,0.614678448830055,0.0
CIP1,CAT1,0.5113859136062839,0.6889690115426698,0.3400007645735191,0.5058989129623856,0.9005268109267495,0.9290395331724512,0.3528802605714495,0.5378942079298821,0.0
C7_00810W_A,CIP1,0.20619350375056855,0.3897283807153603,0.4919482680812974,0.6454251650871617,0.05247169165107116,0.1508561134968296,0.6742241656123005,0.7893795922784005,0.0
C7_00810W_A,MIG1,0.0007364719427814638,0.016137106485927873,,,,,0.0007364719427814638,0.023786665810944872,0.0
C7_00810W_A,SKN7,0.000513725699227688,0.016103282839077016,0.17115209501500145,0.3415789692884139,0.000372839053995631,0.009111254382018232,0.2123140555081535,0.42251244629717216,0.0
C7_00810W_A,PBS2,0.13640307629247742,0.2982372346055862,0.12835862083559255,0.2964643752226068,0.4660341996510304,0.5883111581665862,0.02372843873295411,0.14002128202812525,0.0
C7_00810W_A,RHB1,0.06349044665130539,0.1872061169832776,0.09181379060601387,0.255702924290082,0.18567132625307173,0.321227825508633,0.088503822650393,0.26809031085198687,0.0
