Gene_X,Gene_Y,P-value (exp_vs_XY),P-value adj (exp_vs_XY),P-value (exp_vs_YX),P-value adj (exp_vs_YX),P-value (actual_XY_vs_YX),P-value adj (actual_XY_vs_YX),P-value (exp_vs_average_XY_YX),P-value adj (exp_vs_average_XY_YX),Significant
FGR15,C1_12120W_A,0.08178095861679838,0.522139966553405,0.2374650575523323,0.5173666897652088,0.7492307812720995,0.8571200137752818,0.11366203545122887,0.604032531255102,0.0
FGR15,TPK1,0.2913445515992112,0.8639954737453284,0.2657848593608091,0.5415366509476485,0.024633898942896793,0.2516176820595887,0.9833839057782644,0.9886994944581469,0.0
FGR15,PTC1,0.645335068564534,0.9885303562766522,0.36540511906071554,0.601626610170673,0.4549381908092045,0.6441204087694679,0.333049211306536,0.7484021942340532,0.0
FGR15,MSN4,0.24962151372443378,0.8596721745437845,0.1399821695568622,0.4648653914232233,0.21031460873130478,0.4850804685254288,0.05736226297921625,0.46388612670148793,0.0
FGR15,HSP30,0.6909575412994705,0.9885303562766522,0.28917260968686065,0.5530733404115531,0.2280896663488558,0.5001572857549749,0.8324418255227567,0.9499685313426952,0.0
FGR15,YAK1,0.18330822953675,0.8060443092356814,0.14688835839365427,0.4648653914232233,0.36138869923748984,0.5789213620261789,0.1648752416652697,0.7085259985387659,0.0
FGR15,TYE7,0.05057422594636426,0.4830743740119307,0.31071700855469847,0.5530733404115531,0.08124658276520964,0.3866812723866826,0.12741452246137505,0.623660557310941,0.0
FGR15,CAT1,0.11709278517556843,0.647913411304812,0.9591776533324634,0.989531376539187,0.003146139836215086,0.10901973295489054,0.30788784843639905,0.7484021942340532,0.0
HOG1,FGR15,0.47649197643356384,0.9885303562766522,0.4764001563104768,0.6811686445491905,0.2002570326647081,0.477279261184221,0.8803020642942017,0.9746201426114376,0.0
HOG1,SSK1,0.9114182366613897,0.9957692967665555,0.16008206262186528,0.4648653914232233,0.014606147051704,0.20886790283936718,0.4175709453007542,0.7545821700816334,0.0
HOG1,C1_12120W_A,0.9297845843302174,0.9957692967665555,0.0880397567244708,0.4131309645236796,0.08013944089121121,0.3866812723866826,0.288684190670959,0.7484021942340532,0.0
HOG1,TPK1,0.08811420980658713,0.5417392158479061,0.582604136101339,0.759715793476146,0.0537601509340387,0.38288278463050707,0.5104515512371366,0.8042999624050227,0.0
HOG1,PTC1,0.992585108175883,0.9979262013396901,0.08870910281183304,0.4131309645236796,0.10089128842062509,0.3866812723866826,0.34071991003406754,0.7484021942340532,0.0
HOG1,MSN4,0.7999760942025685,0.9885303562766522,0.3211349449387737,0.5530733404115531,0.23153463553005793,0.5001572857549749,0.5837858093692336,0.8756787140538504,0.0
